Station, Sample,  Excel,Date, Depth,   Salinity,    Temp, d13C-DIC,  DIC,   ALK
BATS, 1989-01-29,32537,1989.0767,18,36.645,20.79,1.48,2039.48,2395.04
BATS, 1990-06-22,33046,1990.4712,1,36.456,24.99,1.36,2031.94,2384.17
BATS, 1990-06-22,33046,1990.4712,10,36.467,24.33,1.4,2031.79,2378.03
BATS, 1990-07-18,33072,1990.5425,2,36.456,27.35,1.38,2030.62,2378.91
BATS, 1990-07-18,33072,1990.5425,10,36.454,27.25,1.39,2030.89,2377.16
BATS, 1990-08-14,33099,1990.6164,1,36.589,28.11,1.45,2021.44,2392.3
BATS, 1990-08-14,33099,1990.6164,10,36.588,27.97,1.45,2021.33,2388.81
BATS, 1990-09-11,33127,1990.6932,3,36.472,29.04,1.47,2013.33,2384.23
BATS, 1990-09-11,33127,1990.6932,11,36.458,28.31,1.47,2013.68,2379.64
BATS, 1990-10-15,33161,1990.7863,1,36.492,25.88,1.48,2019.34,2388.98
BATS, 1990-10-15,33161,1990.7863,11,36.491,28.51,1.51,2019.6,2386.34
BATS, 1990-11-05,33182,1990.8438,2,36.672,24.66,1.45,2027.88,2396.92
BATS, 1990-11-05,33182,1990.8438,11,36.678,24.66,1.5,2026.92,2388.47
BATS, 1990-12-04,33211,1990.9233,2,36.732,22.94,1.42,2035.58,2403.93
BATS, 1990-12-04,33211,1990.9233,10,36.73,22.94,1.48,2034.22,2402.69
BATS, 1991-03-21,33318,1991.2164,2,36.649,19.4,1.24,2062.96,2393.98
BATS, 1991-03-21,33318,1991.2164,11,36.641,19.24,1.28,2063.48,2391.34
BATS, 1991-04-16,33344,1991.2877,1,36.676,19.78,1.22,2064.08,2392.5
BATS, 1991-04-16,33344,1991.2877,9,36.675,19.73,1.27,2061.45,2390.25
BATS, 1991-05-13,33371,1991.3616,2,36.653,20.5,1.29,2060.41,2391.6
BATS, 1991-05-13,33371,1991.3616,11,36.652,20.39,1.34,2059.89,2392.62
BATS, 1991-06-19,33408,1991.463,4,36.709,25.35,1.36,2046.8,2397.64
BATS, 1991-06-19,33408,1991.463,10,36.705,24.96,1.37,2046.49,2396.25
BATS, 1991-07-15,33434,1991.5342,1,36.487,27.44,1.36,2032.8,2384.43
BATS, 1991-07-15,33434,1991.5342,10,36.457,27.2,1.41,2030.9,2381.64
BATS, 1991-08-12,33462,1991.611,1,36.896,29.58,1.36,2040.56,2408.39
BATS, 1991-08-12,33462,1991.611,9,36.963,28.98,1.43,2043.14,2414.39
BATS, 1991-09-13,33494,1991.6986,1,36.379,26.74,1.43,2019.83,2379.62
BATS, 1991-09-13,33494,1991.6986,10,36.385,26.42,1.45,2020.2,2376.17
BATS, 1991-11-11,33553,1991.8603,2,36.65,23.37,1.4,2033.97,2395.78
BATS, 1991-11-11,33553,1991.8603,10,36.649,23.37,1.46,2032.73,2394.39
BATS, 1991-12-10,33582,1991.9397,1,36.783,22.66,1.38,2044.72,2400.32
BATS, 1991-12-10,33582,1991.9397,12,36.781,22.66,1.43,2043.28,2401.38
