"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Hydrostation S (BERM)                                                                     "
"                                                                                           "
" Time-series data for inorganic carbon chemistry (DIC, ALK, d13C-DIC) from discrete bottle "
" samples from surface seawater. Each row designates the average of one or two bottles      "
" from a specific depth and time and date. Data have been screened to remove contaminated   "
" samples and outliers.                                                                     "
"                                                                                           "
" Carbon measurements include total dissolved inorganic carbon (DIC), the reduced isotope   "
" ratio 13C/12C of DIC (d13C-DIC), and alkalinity (ALK). Salinity measurements are based on "
" bottle seawater. Temperature measured with CTD hydrocast.                                 "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
" Lueker, T.J., C.D. Keeling, P.R. Guenther, M. Whalen, and W.G. Mook. Inorganic Carbon     "
" Variations in Surface Ocean Water near Bermuda. UC San Diego: Scripps Institution of      "
" Oceanography. https://escholarship.org/uc/item/8742p2nb, 1998.                            "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Column 1: Station identifier                                                              "
" Column 2: Sample Date: Year-month-day                                                     "
" Column 3: Sample Date: Excel format                                                       "
" Column 4: Sample Date: Decimal date                                                       "
" Column 5: Depth (m)                                                                       "
" Column 6: Salinity                                                                        "
" Column 7: Temperature (deg C)                                                             "
" Column 8: d13C-DIC (per mil)                                                              "
" Column 9: DIC (micro mol/kg)                                                              "
" Column 10: ALK (micro mol/kg                                                              "
"                                                                                           "
Station, Sample,  Excel, Decimal, Depth,   Salinity,    Temp, d13C-DIC,  DIC,   ALK
       , Date  ,  Date , Date   ,      ,           ,        ,         ,     ,
BERM, 1983-09-12, 30571, 1983.6959,  10,      36.146,   27.24,  1.54, 2000.51,      NaN
BERM, 1983-10-10, 30599, 1983.7726,   1,      35.955,   26.35,  1.62, 1987.32,  2346.19
BERM, 1983-10-10, 30599, 1983.7726,  10,      35.951,   26.35,   1.6, 1986.95,  2346.36
BERM, 1984-01-27, 30708, 1984.0710,   1,      36.399,    20.2,   1.5, 2031.94,  2369.85
BERM, 1984-01-27, 30708, 1984.0710,  10,      36.381,   20.41,  1.35, 2030.01,      NaN
BERM, 1984-03-09, 30750, 1984.1858,   1,      36.463,   19.81,  1.34, 2043.46,      NaN
BERM, 1984-03-09, 30750, 1984.1858,  10,      36.466,   19.88,   1.4, 2042.86,      NaN
BERM, 1984-04-03, 30775, 1984.2541,   1,      36.483,   19.61,  1.42, 2046.66,      NaN
BERM, 1984-04-03, 30775, 1984.2541,  10,      36.467,   19.49,  1.39,  2044.8,      NaN
BERM, 1984-04-30, 30802, 1984.3279,   1,      36.479,   19.74,  1.46, 2043.68,      NaN
BERM, 1984-04-30, 30802, 1984.3279,  10,       36.48,   20.05,  1.46, 2043.88,      NaN
BERM, 1984-06-28, 30861, 1984.4891,   1,      36.307,   23.78,   NaN, 2028.12,      NaN
BERM, 1984-06-28, 30861, 1984.4891,  10,      36.299,   23.44,  1.54, 2024.09,      NaN
BERM, 1984-07-25, 30888, 1984.5628,   1,      36.446,   27.12,   NaN, 2033.53,      NaN
BERM, 1984-07-25, 30888, 1984.5628,  10,      36.442,   26.65,  1.58, 2030.82,      NaN
BERM, 1984-08-16, 30910, 1984.6230,   1,      36.454,   28.09,  1.57, 2022.67,      NaN
BERM, 1984-08-16, 30910, 1984.6230,  10,      36.414,   27.29,  1.59, 2022.01,  2369.31
BERM, 1984-09-11, 30936, 1984.6940,   1,      36.497,   26.69,  1.64, 2018.15,      NaN
BERM, 1984-09-11, 30936, 1984.6940,  10,      36.494,    26.6,  1.62, 2017.38,      NaN
BERM, 1984-09-12, 30937, 1984.6967,   1,      36.459,   26.64,  1.63, 2017.23,  2391.14
BERM, 1984-10-18, 30973, 1984.7951,   1,      36.378,   23.14,  1.62,    2020,      NaN
BERM, 1984-10-18, 30973, 1984.7951,  10,      36.377,   23.49,  1.57, 2021.61,      NaN
BERM, 1984-11-19, 31005, 1984.8825,   1,      36.454,   23.52,  1.63, 2023.94,  2378.74
BERM, 1984-11-19, 31005, 1984.8825,  10,      36.456,   22.44,  1.63, 2023.73,   2379.9
BERM, 1984-12-17, 31033, 1984.9590,   1,      36.434,   20.79,  1.62, 2030.08,  2380.41
BERM, 1984-12-17, 31033, 1984.9590,  10,      36.431,   20.76,  1.62, 2029.91,  2379.33
BERM, 1985-02-05, 31083, 1985.0959,   1,      36.489,   19.12,  1.41, 2048.77,   2390.1
BERM, 1985-02-05, 31083, 1985.0959,  10,      36.508,   19.21,  1.45, 2048.16,  2383.19
BERM, 1985-02-12, 31090, 1985.1151,   1,      36.513,   19.04,  1.41, 2051.09,  2383.37
BERM, 1985-02-12, 31090, 1985.1151,  10,       36.51,   18.96,  1.46,  2051.1,  2385.38
BERM, 1985-03-15, 31121, 1985.2000,   1,       36.52,   19.18,  1.47, 2049.63,  2383.23
BERM, 1985-03-15, 31121, 1985.2000,  10,       36.52,   19.03,  1.47, 2048.77,   2384.3
BERM, 1985-04-11, 31148, 1985.2740,   1,      36.467,   19.14,  1.44, 2046.46,  2377.31
BERM, 1985-04-11, 31148, 1985.2740,  10,       36.46,   19.11,  1.46,  2046.7,   2378.5
BERM, 1985-05-06, 31173, 1985.3425,  10,      36.473,   19.89,  1.51, 2046.34,  2376.53
BERM, 1985-05-06, 31173, 1985.3425,   1,      36.476,   20.12,  1.53, 2046.33,  2375.04
BERM, 1985-06-25, 31223, 1985.4795,   1,      36.483,   26.13,  1.56, 2036.77,      NaN
BERM, 1985-06-25, 31223, 1985.4795,  10,      36.475,   25.76,  1.56, 2035.61,      NaN
BERM, 1985-07-22, 31250, 1985.5534,   1,      36.434,   27.23,  1.61, 2026.98,  2374.72
BERM, 1985-07-22, 31250, 1985.5534,  10,      36.425,    26.7,  1.56, 2026.26,      NaN
BERM, 1985-08-26, 31285, 1985.6493,   1,      36.472,   27.86,  1.62, 2019.59,      NaN
BERM, 1985-08-26, 31285, 1985.6493,  10,      36.456,   27.06,  1.63, 2017.37,      NaN
BERM, 1985-10-14, 31334, 1985.7836,  10,      36.353,    25.7,   1.7, 2004.98,  2374.21
BERM, 1985-10-14, 31334, 1985.7836,   1,      36.348,   25.76,  1.69,  2004.6,      NaN
BERM, 1985-11-07, 31358, 1985.8493,   1,      36.398,   24.81,  1.66, 2016.36,      NaN
BERM, 1985-11-07, 31358, 1985.8493,  10,      36.402,   24.89,  1.63, 2015.56,  2376.81
BERM, 1985-12-05, 31386, 1985.9260,   1,      36.542,   22.62,  1.68, 2026.01,   2384.5
BERM, 1985-12-05, 31386, 1985.9260,  10,      36.541,   22.57,  1.65, 2026.36,      NaN
BERM, 1986-02-03, 31446, 1986.0904,   1,       36.55,   19.97,  1.62, 2039.02,   2387.6
BERM, 1986-02-03, 31446, 1986.0904,  10,      36.546,   20.13,  1.58, 2039.59,  2386.54
BERM, 1986-04-05, 31507, 1986.2575,   1,      36.435,    20.1,  1.51, 2040.61,      NaN
BERM, 1986-04-05, 31507, 1986.2575,  10,       36.44,      20,  1.48, 2038.79,   2381.4
BERM, 1986-04-28, 31530, 1986.3205,   1,      36.535,   20.02,  1.54, 2042.08,      NaN
BERM, 1986-04-28, 31530, 1986.3205,  10,      36.535,   20.35,  1.48, 2041.11,      NaN
BERM, 1986-05-29, 31561, 1986.4055,  12,      36.579,   21.77,  1.55, 2041.02,  2390.22
BERM, 1986-05-29, 31561, 1986.4055,   2,      36.583,   21.42,  1.55,  2041.8,  2388.63
BERM, 1986-07-07, 31600, 1986.5123,   1,      36.323,   25.99,  1.57, 2021.28,   2375.3
BERM, 1986-07-07, 31600, 1986.5123,  10,      36.371,      26,   1.6, 2024.42,   2374.7
BERM, 1986-08-26, 31650, 1986.6493,   1,      36.384,    27.9,  1.67, 2014.78,  2375.88
BERM, 1986-08-26, 31650, 1986.6493,  10,      36.379,   27.74,  1.65, 2014.51,  2376.98
BERM, 1986-09-23, 31678, 1986.7260,   1,      36.213,   26.31,  1.66, 2000.32,  2364.67
BERM, 1986-09-23, 31678, 1986.7260,  10,      36.207,   25.95,  1.62, 2000.19,  2364.15
BERM, 1986-11-05, 31721, 1986.8438,   1,      36.549,   24.28,  1.69, 2018.55,  2385.48
BERM, 1986-11-05, 31721, 1986.8438,  10,      36.555,   24.07,  1.67, 2018.34,  2386.44
BERM, 1986-11-21, 31737, 1986.8877,   1,       36.53,   23.49,  1.59, 2019.21,  2382.35
BERM, 1986-11-21, 31737, 1986.8877,  10,       36.53,   23.48,  1.59, 2020.61,   2380.6
BERM, 1987-01-22, 31799, 1987.0575,   1,      36.514,   20.58,  1.47, 2040.53,   2385.4
BERM, 1987-01-22, 31799, 1987.0575,  10,      36.508,   20.47,  1.47, 2040.36,   2386.9
BERM, 1987-03-07, 31843, 1987.1781,   1,      36.623,   19.28,  1.44, 2053.76,  2392.86
BERM, 1987-03-07, 31843, 1987.1781,  10,      36.621,   19.26,  1.42, 2053.85,  2393.79
BERM, 1987-03-28, 31864, 1987.2356,   1,       36.57,   19.24,   1.4, 2054.52,  2388.75
BERM, 1987-03-28, 31864, 1987.2356,  10,      36.565,   18.87,   1.4, 2054.16,  2389.19
BERM, 1987-04-22, 31889, 1987.3041,   1,      36.641,   20.27,  1.48,  2051.4,  2393.52
BERM, 1987-04-22, 31889, 1987.3041,  10,       36.64,   20.18,  1.47, 2049.97,  2392.54
BERM, 1987-05-26, 31923, 1987.3973,   1,      36.497,   22.51,  1.53, 2035.02,  2383.42
BERM, 1987-05-26, 31923, 1987.3973,  10,      36.523,   22.13,  1.62, 2037.58,  2384.19
BERM, 1987-06-26, 31954, 1987.4822,   1,      36.504,   25.59,  1.58, 2028.34,  2384.52
BERM, 1987-06-26, 31954, 1987.4822,  10,        36.5,   24.96,  1.57, 2029.21,  2384.73
