,,,All higher taxonomies - All genera and species - All phases and stages,,,,,,,,,
,,"2000 to 2021 - Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec - All times",,,,,,,,,,
,,,,,Southern California (lines 80 to 93),,,,,,,
,,,,,Pooled and Unpooled Samples,,,,,,,
,,,,Abundance per m2 - Biomass mg Carbon per,,,,,,,,
,,,,,,Records 1 to 80 of 80,,,,,,
Cruise,Ship,Date,Line,Station,Region,TowBegin,TowEnd,Latitude,Longitude,Abundance,Tows,Source
CALCOFI,,2000-,,,,,,,,,,
,N/A,,N/A,N/A,SC,N/A,N/A,N/A,N/A,30910.5,11,Pooled
4,,04-13,,,,,,,,,,
CALCOFI,,2001-,,,,,,,,,,
,N/A,,N/A,N/A,SC,N/A,N/A,N/A,N/A,25181.6,17,Pooled
104,,04-13,,,,,,,,,,
CALCOFI,,2002-,,,,,,,,,,
,N/A,,N/A,N/A,SC,N/A,N/A,N/A,N/A,34504.3,15,Pooled
204,,04-03,,,,,,,,,,
CALCOFI,,2003-,,,,,,,,,,
,N/A,,N/A,N/A,SC,N/A,N/A,N/A,N/A,71990.2,16,Pooled
304,,04-10,,,,,,,,,,
CALCOFI,,2004-,,,,,,,,,,
,N/A,,N/A,N/A,SC,N/A,N/A,N/A,N/A,15058.8,12,Pooled
404,,03-29,,,,,,,,,,
CALCOFI,,2005-,,,,,,,,,,
,N/A,,N/A,N/A,SC,N/A,N/A,N/A,N/A,24083.1,14,Pooled
504,,04-21,,,,,,,,,,
CALCOFI,,2006-,,,,,,,,,,
,N/A,,N/A,N/A,SC,N/A,N/A,N/A,N/A,25798.9,14,Pooled
604,,04-08,,,,,,,,,,
CALCOFI,,2007-,,,,,,,,,,
,N/A,,N/A,N/A,SC,N/A,N/A,N/A,N/A,21411.1,7,Pooled
704,,04-13,,,,,,,,,,
CALCOFI,,2008-,,,,,,,,,,
,N/A,,N/A,N/A,SC,N/A,N/A,N/A,N/A,30927.3,7,Pooled
804,,03-31,,,,,,,,,,
CALCOFI,,2009-,,,,,,,,,,
,N/A,,N/A,N/A,SC,N/A,N/A,N/A,N/A,13313,13,Pooled
903,,03-14,,,,,,,,,,
CALCOFI,,2010-,,,,,,,,,,
,N/A,,N/A,N/A,SC,N/A,N/A,N/A,N/A,16173.1,13,Pooled
1004,,05-07,,,,,,,,,,
CALCOFI,,2011-,,,,,,,,,,
,N/A,,N/A,N/A,SC,N/A,N/A,N/A,N/A,33890.7,8,Pooled
1104,,04-16,,,,,,,,,,
,,,,,,,2012-03-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-03-24,,,,,,
,,,93.3,26.7,SC,,24,32.95,-117.30,0,1,Unpooled
1203SH,SHIMADA,03-24,,,,22:37:00,,,,,,
,,,,,,,22:42:00,,,,,
,,,,,,,2012-03-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-03-25,,,,,,
,,,93.3,28,SC,,25,32.92,-117.40,0,1,Unpooled
1203SH,SHIMADA,03-25,,,,00:48:00,,,,,,
,,,,,,,01:08:00,,,,,
,,,,,,,2012-03-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-03-25,,,,,,
,,,93.3,30,SC,,25,32.85,-117.53,3.9,1,Unpooled
1203SH,SHIMADA,03-25,,,,03:35:00,,,,,,
,,,,,,,03:55:00,,,,,
,,,,,,,2012-03-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-03-25,,,,,,
,,,93.3,35,SC,,25,32.68,-117.87,2.3,1,Unpooled
1203SH,SHIMADA,03-25,,,,07:24:00,,,,,,
,,,,,,,07:39:00,,,,,
,,,,,,,2012-03-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-03-25,,,,,,
,,,93.3,40,SC,,25,32.52,-118.22,0.3,1,Unpooled
1203SH,SHIMADA,03-25,,,,12:04:00,,,,,,
,,,,,,,12:24:00,,,,,
,,,,,,,2012-03-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-03-25,,,,,,
,,,93.3,50,SC,,25,32.18,-118.88,0,1,Unpooled
1203SH,SHIMADA,03-25,,,,20:18:00,,,,,,
,,,,,,,20:38:00,,,,,
,,,,,,,2012-03-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-03-26,,,,,,
,,,93.3,55,SC,,26,32.02,-119.23,2.7,1,Unpooled
1203SH,SHIMADA,03-26,,,,00:01:00,,,,,,
,,,,,,,00:21:00,,,,,
,,,,,,,2012-03-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-03-26,,,,,,
,,,93.3,60,SC,,26,31.85,-119.57,0.9,1,Unpooled
1203SH,SHIMADA,03-26,,,,04:18:00,,,,,,
,,,,,,,04:38:00,,,,,
,,,,,,,2012-03-,,,,,
CALCOFI,BELL M.,2012-,,,,2012-03-26,,,,,,
,,,93.3,70,SC,,26,31.52,-120.25,42.2,1,Unpooled
1203SH,SHIMADA,03-26,,,,09:46:00,,,,,,
,,,,,,,10:06:00,,,,,
CALCOFI,BELL M.,2012-,90,70,SC,2012-03-28,2012-03-,32.08,-120.65,4.5,1,Unpooled
1203SH,SHIMADA,03-28,,,,22:51:00,28,,,,,
,,,,,,,23:11:00,,,,,
CALCOFI,,2012-,,,,,,,,,,
,N/A,,N/A,N/A,SC,N/A,N/A,N/A,N/A,22732.6,14,Pooled
