Station, Sample,  Excel, Decimal, Depth,   Salinity,    Temp, d13C-DIC,  DIC,   ALK
HAWI, 1988-10-30, 32446, 1988.8279,  20,      35.229,   26.19,   1.6,  1963.2,  2320.07
HAWI, 1988-12-02, 32479, 1988.9180,   1,      34.984,   25.62,  1.49, 1954.77,  2306.08
HAWI, 1988-12-02, 32479, 1988.9180,  26,      34.991,   25.56,  1.54, 1954.23,  2304.47
HAWI, 1989-01-08, 32516, 1989.0192,  38,      35.028,   24.63,   1.6, 1963.64,  2299.31
HAWI, 1989-01-08, 32516, 1989.0192,   3,       35.03,   24.63,  1.47,  1963.1,  2303.87
HAWI, 1989-03-27, 32594, 1989.2329,   5,      34.639,   24.36,  1.65, 1945.83,  2280.73
HAWI, 1989-03-27, 32594, 1989.2329,  28,      34.682,   24.33,  1.66, 1946.47,  2283.31
HAWI, 1989-05-19, 32647, 1989.3781,   5,      34.977,   23.89,  1.48,    1966,  2307.06
HAWI, 1989-05-19, 32647, 1989.3781,  24,      35.002,   23.85,   1.5, 1967.16,  2306.12
HAWI, 1989-06-06, 32665, 1989.4274,  25,      34.495,    25.8,  1.55, 1938.06,  2276.29
HAWI, 1989-06-06, 32665, 1989.4274,   5,      34.504,    25.8,  1.57, 1939.21,  2275.56
HAWI, 1989-07-29, 32718, 1989.5726,   6,      34.921,   25.43,  1.56, 1957.14,  2300.57
HAWI, 1989-07-29, 32718, 1989.5726,  26,       34.92,   25.37,  1.56, 1956.45,  2302.42
HAWI, 1989-08-24, 32744, 1989.6438,   5,       34.66,   26.21,  1.58,  1943.2,  2284.06
HAWI, 1989-08-24, 32744, 1989.6438,  26,       34.66,    26.2,  1.54,  1943.3,  2286.21
HAWI, 1989-09-23, 32774, 1989.7260,   8,      34.771,   26.35,  1.59,  1946.5,  2286.48
HAWI, 1989-09-23, 32774, 1989.7260,  25,      34.771,   26.34,  1.61,  1947.6,   2287.3
HAWI, 1989-10-19, 32800, 1989.7973,   7,      34.907,   26.18,  1.71, 1952.57,  2299.43
HAWI, 1989-10-19, 32800, 1989.7973,  29,       34.91,      26,  1.62, 1953.09,  2298.01
HAWI, 1989-11-28, 32840, 1989.9068,   6,       34.93,   25.07,  1.62,  1957.3,  2302.79
HAWI, 1989-11-28, 32840, 1989.9068,  25,      34.932,   25.07,  1.64, 1957.32,   2300.7
HAWI, 1990-02-16, 32920, 1990.1260,   5,      34.735,   24.12,  1.61, 1952.51,  2286.59
HAWI, 1990-02-16, 32920, 1990.1260,  25,      34.736,   24.14,  1.58, 1952.31,  2286.53
HAWI, 1990-03-19, 32951, 1990.2110,   5,      34.849,    23.1,   NaN, 1964.78,  2294.26
HAWI, 1990-03-19, 32951, 1990.2110,  25,      34.847,   23.11,   1.5,  1965.1,  2293.27
HAWI, 1990-04-13, 32976, 1990.2795,  25,      35.051,   22.59,  1.56, 1975.58,  2306.22
HAWI, 1990-04-13, 32976, 1990.2795,   5,      35.026,   23.09,  1.56,  1974.3,  2304.89
HAWI, 1990-05-09, 33002, 1990.3507,   5,       34.93,    24.1,  1.55, 1965.73,  2297.23
HAWI, 1990-05-09, 33002, 1990.3507,  25,      34.932,    23.7,  1.57, 1966.18,  2295.75
HAWI, 1990-06-13, 33037, 1990.4466,  25,      35.063,   24.65,   NaN, 1971.53,      NaN
HAWI, 1990-06-13, 33037, 1990.4466,   5,      35.069,   24.64,  1.54, 1971.85,   2304.9
HAWI, 1990-07-25, 33079, 1990.5616,  25,      34.868,   25.81,  1.57, 1954.73,  2291.91
HAWI, 1990-07-25, 33079, 1990.5616,   5,      34.874,   25.82,  1.64, 1955.51,  2291.54
HAWI, 1990-09-14, 33130, 1990.7014,  10,      34.981,    26.5,  1.59, 1966.65,  2305.48
HAWI, 1990-09-14, 33130, 1990.7014,  20,      34.983,   26.45,   1.6, 1966.77,  2303.46
HAWI, 1990-12-17, 33224, 1990.9589,  25,      35.211,   23.97,  1.56, 1977.72,  2317.02
HAWI, 1990-12-17, 33224, 1990.9589,  10,      35.206,   23.97,  1.57,  1977.2,  2313.96
HAWI, 1990-12-18, 33225, 1990.9616,   7,      35.225,      24,  1.59, 1979.26,  2317.18
HAWI, 1990-12-18, 33225, 1990.9616,  37,      35.225,      24,  1.57, 1978.97,  2316.12
HAWI, 1991-02-02, 33271, 1991.0877,  26,      35.076,   23.48,   NaN,  1973.9,   2304.6
HAWI, 1991-02-02, 33271, 1991.0877,   6,      35.062,   23.52,   NaN, 1970.57,  2300.23
HAWI, 1991-03-06, 33303, 1991.1753,   5,      35.191,   22.68,   NaN, 1981.26,  2314.43
HAWI, 1991-03-06, 33303, 1991.1753,  25,      35.177,   22.67,   NaN, 1981.28,  2316.02
HAWI, 1991-04-09, 33337, 1991.2685,  25,      34.938,    23.4,  1.46, 1968.35,  2294.48
HAWI, 1991-04-09, 33337, 1991.2685,   6,      35.031,    23.4,  1.47, 1970.16,  2293.69
HAWI, 1991-05-08, 33366, 1991.3479,  28,      34.896,   23.94,  1.45, 1965.57,  2295.56
HAWI, 1991-05-08, 33366, 1991.3479,  11,        34.9,   23.93,  1.46, 1964.35,  2298.77
HAWI, 1991-06-04, 33393, 1991.4219,  28,      34.964,    24.6,  1.48, 1966.57,  2301.56
HAWI, 1991-06-04, 33393, 1991.4219,   6,      34.957,   24.67,   NaN,     NaN,  2304.27
HAWI, 1991-07-09, 33428, 1991.5178,  23,      34.875,   25.54,  1.52, 1960.99,  2297.02
HAWI, 1991-07-09, 33428, 1991.5178,   3,      34.895,   25.58,  1.51, 1963.19,  2296.21
HAWI, 1991-08-10, 33460, 1991.6055,  26,      34.953,   25.88,  1.53, 1964.04,  2301.54
HAWI, 1991-08-10, 33460, 1991.6055,   7,      34.955,   25.88,  1.51,  1965.9,  2299.59
HAWI, 1991-09-17, 33498, 1991.7096,  31,      35.027,   26.29,  1.54, 1963.97,  2307.31
HAWI, 1991-10-21, 33532, 1991.8027,   7,      34.801,   26.91,  1.54, 1944.41,  2287.25
HAWI, 1991-10-21, 33532, 1991.8027,  27,      34.802,   26.91,  1.53, 1944.55,  2290.34
HAWI, 1991-12-06, 33578, 1991.9288,  24,      34.916,   25.76,  1.52, 1955.52,  2299.34
HAWI, 1991-12-06, 33578, 1991.9288,   7,      34.913,   25.76,  1.53, 1955.51,  2300.38
HAWI, 1992-01-04, 33607, 1992.0082,  26,      34.996,   24.26,   NaN,     NaN,      NaN
HAWI, 1992-01-04, 33607, 1992.0082,   6,      35.009,   24.26,   NaN,     NaN,      NaN
HAWI, 1992-02-15, 33649, 1992.1230,  31,       35.14,   23.02,  1.43, 1980.01,   2312.5
HAWI, 1992-02-15, 33649, 1992.1230,   6,      35.028,   22.99,  1.42,  1973.3,  2305.14
HAWI, 1992-04-16, 33710, 1992.2896,  29,      35.088,   23.58,  1.47, 1973.93,  2310.43
HAWI, 1992-04-16, 33710, 1992.2896,   8,      35.106,   23.64,  1.44, 1978.44,   2309.5
HAWI, 1992-06-08, 33763, 1992.4344,  25,       34.83,   25.83,  1.46, 1956.68,  2292.35
