platform_code,time,latitude,longitude,windspd,winddir,slp,drogue,sst,battery,presdiff,salinity,conductivity,gpsfixdel,avgwaveperiod,wvht,domwaveperiod,domwavedir
,UTC,degrees_north,degrees_east,m/s,degree,hPa,,deg C,volts,hPa,PSU,,,s,m,s,degree
1301714,2023-11-20T00:00:00Z,23.674,-57.4118,NaN,NaN,1016.1,NaN,27.85,11.0,0.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5501572,2023-11-20T00:00:00Z,34.126,-43.1956,NaN,NaN,NaN,NaN,23.34,10.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301735,2023-11-20T00:00:00Z,30.6746,-42.7564,NaN,NaN,1025.5,NaN,25.09,10.4,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6402615,2023-11-20T00:00:00Z,25.5714,-61.4252,NaN,NaN,1012.4,NaN,27.43,10.6,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4102557,2023-11-20T00:00:00Z,15.5908,-68.7712,NaN,NaN,1011.2,26,29.32,10.6,1.4,NaN,NaN,5,NaN,NaN,NaN,NaN
3101575,2023-11-20T00:00:00Z,11.6084,-58.3162,NaN,NaN,NaN,29,29.16,11.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4102547,2023-11-20T00:00:00Z,26.7826,-66.6934,NaN,NaN,1007.9,60,26.07,9.4,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3101515,2023-11-20T00:00:00Z,31.3954,-52.3062,NaN,NaN,NaN,NaN,25.06,13.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4101542,2023-11-20T00:00:00Z,32.6134,-44.7148,NaN,NaN,NaN,NaN,NaN,9.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301706,2023-11-20T00:00:00Z,20.472,-68.9806,NaN,NaN,1009.8,20,27.87,10.4,1.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4101851,2023-11-20T00:00:00Z,30.3744,-57.1344,NaN,NaN,1013.2,NaN,25.05,10.8,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402670,2023-11-20T00:00:00Z,21.0454,-60.8362,NaN,NaN,1014.1,NaN,28.36,10.6,1.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402618,2023-11-20T00:00:00Z,32.646,-62.43,NaN,NaN,1007.6,NaN,23.94,10.4,0.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4101858,2023-11-20T00:00:00Z,35.0166,-52.5622,NaN,NaN,NaN,17,NaN,10.4,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN
1301755,2023-11-20T00:00:00Z,6.7082,-57.9246,NaN,NaN,1011.2,NaN,NaN,9.2,1.1,NaN,NaN,5,NaN,NaN,NaN,NaN
4102552,2023-11-20T00:00:00Z,16.6504,-72.943,NaN,NaN,1010.4,19,29.48,10.6,0.7,NaN,NaN,5,NaN,NaN,NaN,NaN
4101541,2023-11-20T00:00:00Z,29.3736,-53.0066,NaN,NaN,NaN,NaN,25.09,7.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301700,2023-11-20T00:00:00Z,22.9928,-57.1802,NaN,NaN,1016.1,NaN,27.52,10.6,1.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402884,2023-11-20T00:01:00Z,27.3138,-69.9896,NaN,NaN,1008.8,23,25.83,10.2,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6203730,2023-11-20T00:00:00Z,26.8138,-72.8782,NaN,NaN,1010.3,NaN,26.83,10.0,2.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402885,2023-11-20T00:01:00Z,32.5246,-49.0414,NaN,NaN,1022.2,55,23.41,10.2,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402672,2023-11-20T00:00:00Z,20.1766,-57.0566,NaN,NaN,1015.9,NaN,28.64,10.8,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6203766,2023-11-20T00:00:00Z,27.1242,-50.6488,NaN,NaN,NaN,NaN,26.45,10.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301697,2023-11-20T00:00:00Z,34.5824,-63.926,NaN,NaN,NaN,NaN,22.88,9.4,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN
4101884,2023-11-20T00:00:00Z,36.0184,-71.3932,NaN,NaN,NaN,22,22.18,10.8,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN
3801596,2023-11-20T00:00:00Z,36.4814,-43.4338,NaN,NaN,1027.9,8,22.45,10.4,-0.8,NaN,NaN,5,NaN,NaN,NaN,NaN
6203839,2023-11-20T00:00:00Z,33.861,-52.8072,NaN,NaN,1015.6,NaN,23.76,10.4,-0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4102561,2023-11-20T00:00:00Z,15.182,-65.1252,NaN,NaN,1012.5,24,29.23,10.4,1.0,NaN,NaN,5,NaN,NaN,NaN,NaN
4402674,2023-11-20T00:00:00Z,29.6508,-65.7282,NaN,NaN,1007.8,NaN,26.05,10.8,1.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3202507,2023-11-20T00:00:00Z,13.6978,-90.006,NaN,NaN,1010.8,NaN,NaN,10.2,1.3,NaN,NaN,302,NaN,NaN,NaN,NaN
4101523,2023-11-20T00:00:00Z,31.7666,-63.1798,NaN,NaN,NaN,1,NaN,11.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5301663,2023-11-20T00:00:00Z,36.5766,-70.8826,NaN,NaN,NaN,4,NaN,15.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501779,2023-11-20T00:00:00Z,20.4428,-64.1036,NaN,NaN,NaN,NaN,28.53,10.4,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN
6402616,2023-11-20T00:00:00Z,28.472,-42.4008,NaN,NaN,1024.4,NaN,25.33,10.8,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501780,2023-11-20T00:00:00Z,22.7412,-61.1382,NaN,NaN,NaN,NaN,27.96,10.4,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN
4401864,2023-11-20T00:00:00Z,29.1998,-57.7334,NaN,NaN,1013.9,NaN,25.78,10.4,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402675,2023-11-20T00:00:00Z,26.0254,-45.7446,NaN,NaN,1021.5,NaN,27.35,10.8,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4402665,2023-11-20T00:00:00Z,27.5808,-71.1084,NaN,NaN,1009.6,NaN,26.25,9.6,2.4,NaN,NaN,4,NaN,NaN,NaN,NaN
6203771,2023-11-20T00:00:00Z,26.4376,-41.0816,NaN,NaN,1022.8,NaN,25.93,10.6,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1501691,2023-11-20T00:00:00Z,29.4102,-69.3654,NaN,NaN,NaN,11,24.7,17.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4102665,2023-11-20T00:00:00Z,29.3948,-78.0938,NaN,NaN,NaN,32,26.17,7.2,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6203772,2023-11-20T00:00:00Z,23.8842,-68.509,NaN,NaN,1008.5,NaN,27.11,10.4,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301783,2023-11-20T00:00:00Z,19.3906,-56.1508,NaN,NaN,1016.7,46,28.28,11.6,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6402617,2023-11-20T00:00:00Z,29.5626,-44.4368,NaN,NaN,1025.2,NaN,25.04,11.2,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6203773,2023-11-20T00:00:00Z,34.4378,-60.7302,NaN,NaN,1006.6,NaN,22.68,10.4,1.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301712,2023-11-20T00:00:00Z,23.7782,-62.1974,NaN,NaN,1012.7,NaN,27.55,11.0,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301736,2023-11-20T00:00:00Z,24.5906,-39.8322,NaN,NaN,1021.6,22,27.34,10.6,0.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301737,2023-11-20T00:00:00Z,26.747,-56.6928,NaN,NaN,1016.1,NaN,26.69,10.8,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1301731,2023-11-20T00:00:00Z,25.6394,-40.8482,NaN,NaN,1022.6,NaN,27.43,11.0,0.5,NaN,NaN,5,NaN,NaN,NaN,NaN
1301570,2023-11-20T00:00:00Z,25.7972,-52.3978,NaN,NaN,NaN,NaN,27.33,10.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
