platform_code,time,latitude,longitude,slp,drogue,sst,battery,presdiff,salinity,gpsfixdel
,UTC,degrees_north,degrees_east,hPa,,deg C,volts,hPa,PSU,
1301714,2024-10-27T00:00:00Z,29.376,-63.916,1019.3,NaN,27.36,10.4,0.9,NaN,NaN
1301735,2024-10-27T00:00:00Z,24.3046,-44.1372,1018.3,NaN,28.22,10.2,1.4,NaN,NaN
6402615,2024-10-27T00:00:00Z,26.075,-72.595,1019.5,NaN,28.12,10.4,0.8,NaN,NaN
4102557,2024-10-27T00:00:00Z,34.8858,-71.799,1020.1,6,26.91,10.2,0.3,NaN,4
1301726,2024-10-27T00:00:00Z,27.766,-50.6622,1016.8,NaN,27.59,10.6,0.1,NaN,NaN
4102547,2024-10-27T00:00:00Z,29.432,-77.5358,1022.4,60,27.55,8.2,0.0,NaN,NaN
4101860,2024-10-27T00:00:00Z,21.1042,-44.5846,NaN,19,28.0,10.2,NaN,NaN,5
2802011,2024-10-27T00:00:00Z,39.369,-70.4762,1020.2,24,20.31,12.0,2.7,NaN,NaN
7810423,2024-10-27T00:00:00Z,24.2065241,-85.7242537,NaN,NaN,27.18,6.8,0.0,NaN,NaN
3101577,2024-10-27T00:00:00Z,12.9044,-42.5392,NaN,5,28.6,11.0,NaN,NaN,NaN
3101515,2024-10-27T00:00:00Z,35.6376,-55.2862,NaN,NaN,24.59,12.8,NaN,NaN,NaN
7810290,2024-10-27T00:00:00Z,31.8334,-72.3144,1022.1,30,25.51,11.4,0.0,NaN,NaN
7810418,2024-10-27T00:00:00Z,23.3164314,-85.9046616,NaN,NaN,29.38,7.4,0.0,NaN,NaN
4101542,2024-10-27T00:00:00Z,34.2874,-42.4752,NaN,NaN,NaN,8.2,NaN,NaN,NaN
6203768,2024-10-27T00:00:00Z,34.1736,-44.2356,1019.6,NaN,25.19,9.4,-0.1,NaN,NaN
4101851,2024-10-27T00:00:00Z,27.603,-60.0854,1016.9,NaN,28.26,11.0,1.0,NaN,NaN
4402670,2024-10-27T00:00:00Z,20.828,-78.9286,1015.1,NaN,28.91,10.4,0.9,NaN,NaN
7810419,2024-10-27T00:00:00Z,25.8251127,-89.1097862,NaN,NaN,28.65,7.8,0.0,NaN,NaN
4402721,2024-10-27T00:00:00Z,18.592,-59.0326,1015.0,NaN,29.78,10.6,0.8,NaN,NaN
7810414,2024-10-27T00:00:00Z,23.607751,-81.8713835,1018.4,NaN,28.94,5.4,0.0,NaN,NaN
4101861,2024-10-27T00:00:00Z,28.097,-47.5578,1018.6,NaN,27.11,10.4,0.2,NaN,4
7810415,2024-10-27T00:00:00Z,27.9584878,-90.3403236,1022.5,NaN,26.83,7.4,0.0,NaN,NaN
1701718,2024-10-27T00:00:00Z,20.7326,-69.2096,862.0,NaN,NaN,17.2,0.0,NaN,NaN
4101858,2024-10-27T00:00:00Z,32.529,-62.7298,NaN,9,NaN,10.2,NaN,NaN,5
7810381,2024-10-27T00:00:00Z,19.2872,-95.2806,1018.8,17,28.7,11.2,0.0,NaN,NaN
7810291,2024-10-27T00:00:00Z,28.0482,-74.3686,1021.6,46,27.2,11.2,0.0,NaN,NaN
7810311,2024-10-27T00:00:00Z,37.0094,-75.8116,1024.1,31,18.89,11.2,0.0,NaN,NaN
7810323,2024-10-27T00:00:00Z,26.8264,-60.6828,1018.3,27,28.3,11.2,0.0,NaN,NaN
7810312,2024-10-27T00:00:00Z,36.483,-68.3104,1018.2,31,24.73,11.4,0.0,NaN,NaN
6203842,2024-10-27T00:00:00Z,28.6312,-52.3812,1015.4,NaN,27.31,10.8,0.4,NaN,NaN
7810385,2024-10-27T00:00:00Z,24.5594479,-81.7000251,1019.9,NaN,25.58,10.8,0.0,NaN,NaN
7810324,2024-10-27T00:04:00Z,32.5522,-65.2622,1020.7,31,25.24,11.2,0.0,NaN,NaN
7801572,2024-10-27T00:00:00Z,19.4936,-58.6486,1015.2,40,29.91,10.8,0.0,NaN,NaN
7810424,2024-10-27T00:00:00Z,25.5001127,-83.8574222,NaN,NaN,28.47,7.6,0.0,NaN,NaN
7810420,2024-10-27T00:00:00Z,24.8026751,-84.8244113,NaN,NaN,26.65,7.6,0.0,NaN,NaN
4101862,2024-10-27T00:00:00Z,16.229,-51.1362,1014.9,NaN,29.3,10.2,1.6,NaN,5
7810322,2024-10-27T00:00:00Z,23.756,-68.6834,1018.0,29,29.19,10.0,0.0,NaN,NaN
4402885,2024-10-27T00:00:00Z,24.7154,-43.9848,1020.0,37,28.26,7.2,0.0,NaN,NaN
7810421,2024-10-27T00:00:00Z,24.2272733,-85.563877,NaN,NaN,27.25,7.6,0.0,NaN,NaN
7810422,2024-10-27T00:00:00Z,26.0297564,-85.1503222,NaN,NaN,26.84,7.6,0.0,NaN,NaN
6203839,2024-10-27T00:00:00Z,32.1112,-49.4914,1016.2,NaN,25.5,10.0,0.4,NaN,NaN
4402674,2024-10-27T00:00:00Z,25.4552,-61.8362,1017.7,NaN,29.21,10.4,1.1,NaN,NaN
7810383,2024-10-27T00:00:00Z,24.3128,-89.4858,1019.8,51,27.91,10.0,0.0,NaN,NaN
5802000,2024-10-27T00:00:00Z,25.1624,-72.044,1018.8,14,28.09,11.8,0.8,NaN,3
1301575,2024-10-27T00:00:00Z,30.8228,-41.85,NaN,NaN,NaN,12.2,NaN,NaN,NaN
7810425,2024-10-27T00:00:00Z,26.4085364,-84.9616085,NaN,NaN,26.68,7.6,0.0,NaN,NaN
7810426,2024-10-27T00:00:00Z,26.2303894,-85.1085892,NaN,NaN,26.66,7.6,0.0,NaN,NaN
1301810,2024-10-27T00:00:00Z,38.5006,-39.6444,1025.6,23,20.75,11.4,0.1,NaN,2
6402616,2024-10-27T00:00:00Z,27.9754,-46.4444,1018.8,NaN,27.61,10.4,0.0,NaN,NaN
1501780,2024-10-27T00:00:00Z,29.4858,-60.5936,NaN,NaN,27.8,10.2,NaN,NaN,5
7810427,2024-10-27T00:00:00Z,27.1175188,-88.953448,NaN,NaN,27.41,7.4,0.0,NaN,NaN
4402675,2024-10-27T00:00:00Z,31.5082,-65.9482,1020.3,NaN,25.44,10.4,0.9,NaN,NaN
4601782,2024-10-27T00:00:00Z,29.5178,-48.1536,1017.3,NaN,27.56,13.2,0.0,NaN,NaN
4101859,2024-10-27T00:00:00Z,16.1436,-52.6578,1014.9,12,29.43,10.2,1.7,NaN,5
4402665,2024-10-27T00:00:00Z,26.5682,-78.7972,1021.4,NaN,NaN,8.8,0.7,NaN,5
6203771,2024-10-27T00:00:00Z,25.855,-53.3428,1015.8,NaN,27.13,10.2,0.9,NaN,NaN
4402882,2024-10-27T00:00:00Z,34.755,-47.4176,1018.1,30,23.38,7.2,0.0,NaN,NaN
5301665,2024-10-27T00:00:00Z,38.8582,-70.4804,NaN,1,20.79,14.6,NaN,NaN,NaN
7810374,2024-10-27T00:00:00Z,27.2896977,-80.2970848,NaN,NaN,25.8,7.2,0.0,NaN,NaN
4102501,2024-10-27T00:00:00Z,13.8916,-72.0048,NaN,15,30.35,11.8,NaN,NaN,2
2802022,2024-10-27T00:00:00Z,36.3452,-73.7354,1022.8,18,23.41,12.2,2.0,NaN,NaN
6203772,2024-10-27T00:00:00Z,35.8042,-65.6708,1019.2,NaN,24.44,10.2,0.6,NaN,NaN
3801632,2024-10-27T00:00:00Z,-2.7528,158.9878,NaN,23,31.23,12.0,NaN,NaN,1
6402617,2024-10-27T00:00:00Z,32.5516,-56.0544,1018.7,NaN,26.85,10.6,1.0,NaN,NaN
7810364,2024-10-27T00:00:00Z,24.2249448,-82.4049015,NaN,NaN,28.83,7.8,0.0,NaN,NaN
4201523,2024-10-27T00:00:00Z,32.0028,-49.239,NaN,NaN,25.75,12.6,NaN,NaN,NaN
1301712,2024-10-27T00:00:00Z,23.895,-62.6276,1016.7,NaN,29.19,10.0,1.1,NaN,NaN
1301737,2024-10-27T00:00:00Z,28.9838,-59.3838,1018.3,NaN,27.73,10.6,1.1,NaN,NaN
6203890,2024-10-27T00:00:00Z,10.7798,-45.6568,1013.5,NaN,28.96,11.2,0.0,NaN,NaN
1301731,2024-10-27T00:00:00Z,21.4514,-52.5222,1016.4,NaN,29.17,10.6,0.8,NaN,183
4101559,2024-10-27T00:00:00Z,30.8056,-51.9592,NaN,NaN,NaN,14.6,NaN,NaN,NaN
5301664,2024-10-27T00:00:00Z,38.3874,-74.7004,NaN,5,18.42,15.4,NaN,NaN,NaN
1301795,2024-10-27T00:00:00Z,25.381,-74.0492,1019.0,NaN,NaN,9.2,0.0,NaN,NaN
4102500,2024-10-27T00:00:00Z,20.205,-60.3304,NaN,17,30.54,11.6,NaN,NaN,NaN
6203597,2024-10-27T00:00:00Z,28.0154,-75.4868,NaN,NaN,26.97,8.6,0.0,NaN,NaN
6203849,2024-10-27T00:00:00Z,36.1966,-64.8628,1018.7,NaN,24.89,9.8,0.4,NaN,3
3801598,2024-10-27T00:00:00Z,37.4374,-60.894,1018.3,21,24.6,11.8,0.4,NaN,1
1701715,2024-10-27T00:00:00Z,25.631,-58.9156,1016.9,NaN,29.27,7.8,0.0,NaN,NaN
1301817,2024-10-27T00:00:00Z,32.6778,-65.3672,1020.8,24,25.2,11.6,1.1,NaN,1
6203846,2024-10-27T00:00:00Z,30.0566,-43.6574,1020.2,NaN,26.9,10.6,0.5,NaN,NaN
1301818,2024-10-27T00:00:00Z,32.2098,-66.0842,1020.7,47,25.02,11.6,0.9,NaN,NaN
1301797,2024-10-27T00:00:00Z,19.934,-57.3326,1015.4,26,29.91,8.4,0.0,NaN,NaN
1301770,2024-10-27T00:00:00Z,29.1176,-51.6722,1015.8,NaN,27.16,11.0,0.5,NaN,NaN
1301798,2024-10-27T00:00:00Z,30.971,-41.2524,1022.2,NaN,26.55,10.4,0.0,NaN,NaN
4402744,2024-10-27T00:00:00Z,34.866,-56.5226,1018.9,NaN,25.66,9.6,0.8,NaN,4
1301718,2024-10-27T00:00:00Z,32.8066,-41.9132,1022.1,NaN,25.81,10.2,0.3,NaN,NaN
4804036,2024-10-27T00:00:00Z,25.7466,-72.3552,1019.8,3,27.57,11.6,1.0,NaN,NaN
6402618,2024-10-27T00:00:00Z,18.8954,-50.9124,1016.2,NaN,28.99,10.6,1.4,NaN,NaN
6203784,2024-10-27T00:00:00Z,20.7342,-53.0982,NaN,NaN,29.41,5.4,0.0,NaN,NaN
1301725,2024-10-27T00:00:00Z,31.2178,-45.2892,1019.6,NaN,24.98,10.2,0.5,NaN,NaN
6203861,2024-10-27T00:00:00Z,36.029,-65.0088,NaN,NaN,24.74,9.6,NaN,NaN,5
4101886,2024-10-27T00:00:00Z,18.1984,-55.3592,NaN,11,29.53,11.6,NaN,NaN,NaN
6402619,2024-10-27T00:00:00Z,21.3376,-52.996,1016.2,NaN,29.39,10.4,1.0,NaN,NaN
5801977,2024-10-27T00:00:00Z,18.3174,-61.694,1015.0,46,30.12,10.4,0.0,NaN,NaN
3101583,2024-10-27T00:00:00Z,13.4948,-51.4296,NaN,9,29.48,10.6,NaN,NaN,NaN
1501724,2024-10-27T00:00:00Z,35.9186,-58.731,NaN,NaN,24.14,8.8,NaN,NaN,5
4804016,2024-10-27T00:00:00Z,14.5908,-47.0772,1015.6,49,29.13,10.4,0.0,NaN,NaN
7810318,2024-10-27T00:00:00Z,36.0181777,-55.2465554,1018.7,NaN,25.15,9.2,0.0,NaN,NaN
7810329,2024-10-27T00:00:00Z,36.1604103,-68.8393372,1018.3,NaN,24.76,9.8,0.0,NaN,NaN
7810298,2024-10-27T00:00:00Z,36.0963504,-57.0951921,1018.7,NaN,23.93,8.6,0.0,NaN,NaN
7810330,2024-10-27T00:00:00Z,28.9471625,-73.4966914,1021.6,NaN,26.66,10.0,0.0,NaN,NaN
7810327,2024-10-27T00:00:00Z,30.960926,-72.6218637,1022.1,NaN,25.28,8.8,0.0,NaN,NaN
7810293,2024-10-27T00:00:00Z,39.375529,-45.8161118,1018.8,NaN,21.36,7.2,0.0,NaN,NaN
7810380,2024-10-27T00:00:00Z,37.0414222,-62.9193395,1018.7,NaN,24.24,10.4,0.0,NaN,NaN
7810294,2024-10-27T00:00:00Z,34.100351,-72.7617746,1020.9,NaN,24.83,7.4,0.0,NaN,NaN
7810320,2024-10-27T00:00:00Z,36.9143044,-60.9534144,1018.9,NaN,23.74,9.6,0.0,NaN,NaN
7810321,2024-10-27T00:00:00Z,36.7066673,-43.1765902,1021.8,NaN,23.06,7.6,0.0,NaN,NaN
7810325,2024-10-27T00:00:00Z,31.4547675,-63.6847308,1020.0,NaN,25.8,9.8,0.0,NaN,NaN
7810328,2024-10-27T00:00:00Z,32.3083637,-76.0197516,1022.5,NaN,25.42,10.0,0.0,NaN,NaN
7810331,2024-10-27T00:00:00Z,33.8027139,-72.440128,1021.3,NaN,24.69,9.6,0.0,NaN,NaN
7810297,2024-10-27T00:00:00Z,32.0871906,-46.9969562,1018.5,NaN,23.78,9.0,0.0,NaN,NaN
7810377,2024-10-27T00:00:00Z,35.482229,-67.7782306,1019.9,NaN,24.81,9.2,0.0,NaN,NaN
7810378,2024-10-27T00:00:00Z,34.6418838,-67.6971644,1020.6,NaN,24.77,9.2,0.0,NaN,NaN
7810332,2024-10-27T00:00:00Z,34.5572986,-66.0537875,1020.3,NaN,24.46,9.8,0.0,NaN,NaN
7810314,2024-10-27T00:00:00Z,39.8474576,-54.7698528,1016.8,NaN,24.34,10.2,0.0,NaN,NaN
7810379,2024-10-27T00:00:00Z,38.5909936,-46.4964721,1018.7,NaN,23.38,10.4,0.0,NaN,NaN
7810396,2024-10-27T00:04:00Z,26.913496,-89.6792808,NaN,NaN,26.87,NaN,0.0,NaN,364
7810389,2024-10-27T00:00:00Z,26.6839709,-93.8200112,1021.6,NaN,27.9,10.4,0.0,NaN,NaN
1301714,2024-10-27T01:00:00Z,29.3804,-63.9232,1019.7,NaN,27.35,10.4,1.1,NaN,NaN
1301735,2024-10-27T01:00:00Z,24.2986,-44.1396,1018.2,NaN,28.21,10.2,0.8,NaN,NaN
6402615,2024-10-27T01:00:00Z,26.0616,-72.611,1019.9,NaN,28.11,10.4,1.0,NaN,NaN
4102557,2024-10-27T01:00:00Z,34.889,-71.797,1020.7,6,26.91,10.2,0.6,NaN,4
1301726,2024-10-27T01:00:00Z,27.7624,-50.6552,1016.6,NaN,27.59,10.6,-0.2,NaN,NaN
4102547,2024-10-27T01:00:00Z,29.4386,-77.536,1022.7,12,27.57,8.2,0.0,NaN,NaN
4101860,2024-10-27T01:00:00Z,21.0976,-44.5856,NaN,19,27.98,10.2,NaN,NaN,5
7810318,2024-10-27T01:00:00Z,36.0153833,-55.2339854,1018.8,NaN,25.13,9.2,0.0,NaN,NaN
2802011,2024-10-27T01:00:00Z,39.3748,-70.4812,1020.9,24,20.28,12.0,2.6,NaN,1
3101577,2024-10-27T01:00:00Z,12.9026,-42.5338,NaN,5,28.58,11.0,NaN,NaN,NaN
7810326,2024-10-27T01:00:00Z,26.8322867,-77.3717632,1021.2,NaN,23.78,8.6,0.0,NaN,NaN
7810329,2024-10-27T01:00:00Z,36.162162,-68.8306679,1019.1,NaN,24.75,9.8,0.0,NaN,NaN
3101515,2024-10-27T01:00:00Z,35.6402,-55.273,NaN,NaN,24.6,12.8,NaN,NaN,NaN
7810298,2024-10-27T01:00:00Z,36.0932433,-57.0895646,1018.9,NaN,23.9,8.6,0.0,NaN,NaN
7810290,2024-10-27T01:00:00Z,31.838,-72.3008,1022.5,41,25.5,11.2,0.0,NaN,NaN
7810330,2024-10-27T01:00:00Z,28.9364661,-73.4897238,1021.8,NaN,26.69,10.0,0.0,NaN,NaN
7810327,2024-10-27T01:00:00Z,30.963537,-72.6219023,1022.6,NaN,25.27,8.8,0.0,NaN,NaN
4101542,2024-10-27T01:00:00Z,34.2992,-42.4848,NaN,NaN,NaN,8.2,NaN,NaN,NaN
6203768,2024-10-27T01:00:00Z,34.1948,-44.2426,1019.9,NaN,25.2,9.4,0.1,NaN,NaN
